G,Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
1,Aug 31 2023,8:00 PM,Thu,Missouri,,South Dakota,Non-Major,W,35,10,1,0,W 1,
2,Sep 9 2023,7:00 PM,Sat,Missouri,,Middle Tennessee State,CUSA,W,23,19,2,0,W 2,
3,Sep 16 2023,12:00 PM,Sat,Missouri,,(15) Kansas State,Big 12,W,30,27,3,0,W 3,
4,Sep 23 2023,7:30 PM,Sat,Missouri,N,Memphis,American,W,34,27,4,0,W 4,
5,Sep 30 2023,4:00 PM,Sat,(23) Missouri,@,Vanderbilt,SEC,W,38,21,5,0,W 5,
6,Oct 7 2023,12:00 PM,Sat,(21) Missouri,,(23) LSU,SEC,L,39,49,5,1,L 1,
7,Oct 14 2023,7:30 PM,Sat,Missouri,@,(24) Kentucky,SEC,W,38,21,6,1,W 1,
8,Oct 21 2023,3:30 PM,Sat,(20) Missouri,,South Carolina,SEC,W,34,12,7,1,W 2,
9,Nov 4 2023,3:30 PM,Sat,(14) Missouri,@,(1) Georgia,SEC,,,,,,,
10,Nov 11 2023,TBD,Sat,(14) Missouri,,(19) Tennessee,SEC,,,,,,,
11,Nov 18 2023,TBD,Sat,(14) Missouri,,Florida,SEC,,,,,,,
12,Nov 24 2023,4:00 PM,Fri,(14) Missouri,@,Arkansas,SEC,,,,,,,
